year,fips,state,state_po,county_name,dem_votes,candidate.x,rep_votes,candidate.y,total_votes,winning_party,percent_total,winner
2000,10001,DELAWARE,DE,KENT,22790,AL GORE,24081,GEORGE W. BUSH,46871,Republicans,51.37718418638391,GEORGE W. BUSH
2000,10003,DELAWARE,DE,NEW CASTLE,127539,AL GORE,78587,GEORGE W. BUSH,206126,Democrats,61.8742904825204,AL GORE
2000,10005,DELAWARE,DE,SUSSEX,29739,AL GORE,34620,GEORGE W. BUSH,64359,Republicans,53.79201044143011,GEORGE W. BUSH
2000,1001,ALABAMA,AL,AUTAUGA,4942,AL GORE,11993,GEORGE W. BUSH,16935,Republicans,70.81783289046354,GEORGE W. BUSH
2000,1003,ALABAMA,AL,BALDWIN,13997,AL GORE,40872,GEORGE W. BUSH,54869,Republicans,74.49014926461207,GEORGE W. BUSH
2000,1005,ALABAMA,AL,BARBOUR,5188,AL GORE,5096,GEORGE W. BUSH,10284,Democrats,50.44729677168417,AL GORE
2000,1007,ALABAMA,AL,BIBB,2710,AL GORE,4273,GEORGE W. BUSH,6983,Republicans,61.19146498639553,GEORGE W. BUSH
2000,1009,ALABAMA,AL,BLOUNT,4977,AL GORE,12667,GEORGE W. BUSH,17644,Republicans,71.79211063250963,GEORGE W. BUSH
2000,1011,ALABAMA,AL,BULLOCK,3395,AL GORE,1433,GEORGE W. BUSH,4828,Democrats,70.31897265948633,AL GORE
2000,1013,ALABAMA,AL,BUTLER,3606,AL GORE,4127,GEORGE W. BUSH,7733,Republicans,53.36867968446916,GEORGE W. BUSH
2000,1015,ALABAMA,AL,CALHOUN,15781,AL GORE,22306,GEORGE W. BUSH,38087,Republicans,58.56591487909261,GEORGE W. BUSH
2000,1017,ALABAMA,AL,CHAMBERS,5616,AL GORE,6037,GEORGE W. BUSH,11653,Republicans,51.806401784948086,GEORGE W. BUSH
2000,1019,ALABAMA,AL,CHEROKEE,3497,AL GORE,4154,GEORGE W. BUSH,7651,Republicans,54.29355639785649,GEORGE W. BUSH
2000,1021,ALABAMA,AL,CHILTON,4806,AL GORE,10066,GEORGE W. BUSH,14872,Republicans,67.68423883808498,GEORGE W. BUSH
2000,1023,ALABAMA,AL,CHOCTAW,3707,AL GORE,3600,GEORGE W. BUSH,7307,Democrats,50.73217462706994,AL GORE
2000,1025,ALABAMA,AL,CLARKE,4679,AL GORE,5988,GEORGE W. BUSH,10667,Republicans,56.13574575794507,GEORGE W. BUSH
2000,1027,ALABAMA,AL,CLAY,2045,AL GORE,3719,GEORGE W. BUSH,5764,Republicans,64.52116585704371,GEORGE W. BUSH
2000,1029,ALABAMA,AL,CLEBURNE,1664,AL GORE,3333,GEORGE W. BUSH,4997,Republicans,66.7000200120072,GEORGE W. BUSH
2000,1031,ALABAMA,AL,COFFEE,5220,AL GORE,9938,GEORGE W. BUSH,15158,Republicans,65.5627391476448,GEORGE W. BUSH
2000,1033,ALABAMA,AL,COLBERT,10543,AL GORE,10518,GEORGE W. BUSH,21061,Democrats,50.05935140781539,AL GORE
2000,1035,ALABAMA,AL,CONECUH,2783,AL GORE,2699,GEORGE W. BUSH,5482,Democrats,50.76614374315943,AL GORE
2000,1037,ALABAMA,AL,COOSA,2104,AL GORE,2382,GEORGE W. BUSH,4486,Republicans,53.09852875613018,GEORGE W. BUSH
2000,1039,ALABAMA,AL,COVINGTON,4440,AL GORE,8961,GEORGE W. BUSH,13401,Republicans,66.86814416834565,GEORGE W. BUSH
2000,1041,ALABAMA,AL,CRENSHAW,1934,AL GORE,2793,GEORGE W. BUSH,4727,Republicans,59.08610112121854,GEORGE W. BUSH
2000,1043,ALABAMA,AL,CULLMAN,9758,AL GORE,19157,GEORGE W. BUSH,28915,Republicans,66.25280996022825,GEORGE W. BUSH
2000,1045,ALABAMA,AL,DALE,4906,AL GORE,10593,GEORGE W. BUSH,15499,Republicans,68.34634492547906,GEORGE W. BUSH
2000,1047,ALABAMA,AL,DALLAS,10967,AL GORE,7360,GEORGE W. BUSH,18327,Democrats,59.84067223222568,AL GORE
2000,1049,ALABAMA,AL,DEKALB,7056,AL GORE,12827,GEORGE W. BUSH,19883,Republicans,64.5123975255243,GEORGE W. BUSH
2000,1051,ALABAMA,AL,ELMORE,6652,AL GORE,16777,GEORGE W. BUSH,23429,Republicans,71.6078364420163,GEORGE W. BUSH
2000,1053,ALABAMA,AL,ESCAMBIA,4523,AL GORE,6975,GEORGE W. BUSH,11498,Republicans,60.66272395199165,GEORGE W. BUSH
2000,1055,ALABAMA,AL,ETOWAH,17433,AL GORE,21087,GEORGE W. BUSH,38520,Republicans,54.742990654205606,GEORGE W. BUSH
2000,1057,ALABAMA,AL,FAYETTE,3064,AL GORE,4582,GEORGE W. BUSH,7646,Republicans,59.926759089720115,GEORGE W. BUSH
2000,1059,ALABAMA,AL,FRANKLIN,4793,AL GORE,6119,GEORGE W. BUSH,10912,Republicans,56.0758797653959,GEORGE W. BUSH
2000,1061,ALABAMA,AL,GENEVA,2769,AL GORE,6588,GEORGE W. BUSH,9357,Republicans,70.40718178903495,GEORGE W. BUSH
2000,1063,ALABAMA,AL,GREENE,3504,AL GORE,850,GEORGE W. BUSH,4354,Democrats,80.47772163527792,AL GORE
2000,1065,ALABAMA,AL,HALE,4652,AL GORE,2984,GEORGE W. BUSH,7636,Democrats,60.9219486642221,AL GORE
2000,1067,ALABAMA,AL,HENRY,2782,AL GORE,4054,GEORGE W. BUSH,6836,Republicans,59.303686366296084,GEORGE W. BUSH
2000,1069,ALABAMA,AL,HOUSTON,9412,AL GORE,22150,GEORGE W. BUSH,31562,Republicans,70.1793295735378,GEORGE W. BUSH
2000,1071,ALABAMA,AL,JACKSON,9066,AL GORE,8475,GEORGE W. BUSH,17541,Democrats,51.68462459380879,AL GORE
2000,1073,ALABAMA,AL,JEFFERSON,129889,AL GORE,138491,GEORGE W. BUSH,268380,Republicans,51.60257843356435,GEORGE W. BUSH
2000,1075,ALABAMA,AL,LAMAR,2653,AL GORE,4470,GEORGE W. BUSH,7123,Republicans,62.7544573915485,GEORGE W. BUSH
2000,1077,ALABAMA,AL,LAUDERDALE,13875,AL GORE,17478,GEORGE W. BUSH,31353,Republicans,55.74586164003444,GEORGE W. BUSH
2000,1079,ALABAMA,AL,LAWRENCE,6296,AL GORE,5671,GEORGE W. BUSH,11967,Democrats,52.611347873318294,AL GORE
2000,1081,ALABAMA,AL,LEE,14574,AL GORE,22433,GEORGE W. BUSH,37007,Republicans,60.61826141000351,GEORGE W. BUSH
2000,1083,ALABAMA,AL,LIMESTONE,8992,AL GORE,14204,GEORGE W. BUSH,23196,Republicans,61.234695637178824,GEORGE W. BUSH
2000,1085,ALABAMA,AL,LOWNDES,4557,AL GORE,1638,GEORGE W. BUSH,6195,Democrats,73.5593220338983,AL GORE
2000,1087,ALABAMA,AL,MACON,7665,AL GORE,1091,GEORGE W. BUSH,8756,Democrats,87.53997259022384,AL GORE
2000,1089,ALABAMA,AL,MADISON,48199,AL GORE,62151,GEORGE W. BUSH,110350,Republicans,56.321703670140465,GEORGE W. BUSH
2000,1091,ALABAMA,AL,MARENGO,4841,AL GORE,4690,GEORGE W. BUSH,9531,Democrats,50.7921519252964,AL GORE
2000,1093,ALABAMA,AL,MARION,4600,AL GORE,6910,GEORGE W. BUSH,11510,Republicans,60.03475238922677,GEORGE W. BUSH
2000,1095,ALABAMA,AL,MARSHALL,10381,AL GORE,17084,GEORGE W. BUSH,27465,Republicans,62.20280356817768,GEORGE W. BUSH
2000,1097,ALABAMA,AL,MOBILE,58640,AL GORE,78162,GEORGE W. BUSH,136802,Republicans,57.13512960336837,GEORGE W. BUSH
2000,1099,ALABAMA,AL,MONROE,3741,AL GORE,5153,GEORGE W. BUSH,8894,Republicans,57.93793568697999,GEORGE W. BUSH
2000,11001,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA,171923,AL GORE,18073,GEORGE W. BUSH,189996,Democrats,90.48769447777848,AL GORE
2000,1101,ALABAMA,AL,MONTGOMERY,40371,AL GORE,38827,GEORGE W. BUSH,79198,Democrats,50.974772090204304,AL GORE
2000,1103,ALABAMA,AL,MORGAN,16060,AL GORE,25774,GEORGE W. BUSH,41834,Republicans,61.610173543051104,GEORGE W. BUSH
2000,1105,ALABAMA,AL,PERRY,4020,AL GORE,1732,GEORGE W. BUSH,5752,Democrats,69.88873435326843,AL GORE
2000,1107,ALABAMA,AL,PICKENS,4143,AL GORE,4306,GEORGE W. BUSH,8449,Republicans,50.964611196591314,GEORGE W. BUSH
2000,1109,ALABAMA,AL,PIKE,4357,AL GORE,6058,GEORGE W. BUSH,10415,Republicans,58.166106577052325,GEORGE W. BUSH
2000,1111,ALABAMA,AL,RANDOLPH,3094,AL GORE,4666,GEORGE W. BUSH,7760,Republicans,60.12886597938144,GEORGE W. BUSH
2000,1113,ALABAMA,AL,RUSSELL,8396,AL GORE,6198,GEORGE W. BUSH,14594,Democrats,57.53049198300671,AL GORE
2000,1115,ALABAMA,AL,ST. CLAIR,6485,AL GORE,17117,GEORGE W. BUSH,23602,Republicans,72.52351495635963,GEORGE W. BUSH
2000,1117,ALABAMA,AL,SHELBY,13183,AL GORE,47651,GEORGE W. BUSH,60834,Republicans,78.32955255284874,GEORGE W. BUSH
2000,1119,ALABAMA,AL,SUMTER,4415,AL GORE,1629,GEORGE W. BUSH,6044,Democrats,73.04765056254136,AL GORE
2000,1121,ALABAMA,AL,TALLADEGA,11264,AL GORE,13807,GEORGE W. BUSH,25071,Republicans,55.07159666547007,GEORGE W. BUSH
2000,1123,ALABAMA,AL,TALLAPOOSA,6183,AL GORE,9805,GEORGE W. BUSH,15988,Republicans,61.327245434075564,GEORGE W. BUSH
2000,1125,ALABAMA,AL,TUSCALOOSA,24614,AL GORE,34003,GEORGE W. BUSH,58617,Republicans,58.008768787211906,GEORGE W. BUSH
2000,1127,ALABAMA,AL,WALKER,11621,AL GORE,13486,GEORGE W. BUSH,25107,Republicans,53.71410363643605,GEORGE W. BUSH
2000,1129,ALABAMA,AL,WASHINGTON,3386,AL GORE,4117,GEORGE W. BUSH,7503,Republicans,54.87138477942156,GEORGE W. BUSH
2000,1131,ALABAMA,AL,WILCOX,3444,AL GORE,1661,GEORGE W. BUSH,5105,Democrats,67.46327130264447,AL GORE
2000,1133,ALABAMA,AL,WINSTON,2692,AL GORE,6413,GEORGE W. BUSH,9105,Republicans,70.43382756727074,GEORGE W. BUSH
2000,12001,FLORIDA,FL,ALACHUA,47365,AL GORE,34124,GEORGE W. BUSH,81489,Democrats,58.124409429493554,AL GORE
2000,12003,FLORIDA,FL,BAKER,2392,AL GORE,5610,GEORGE W. BUSH,8002,Republicans,70.10747313171707,GEORGE W. BUSH
2000,12005,FLORIDA,FL,BAY,18850,AL GORE,38637,GEORGE W. BUSH,57487,Republicans,67.20997790804878,GEORGE W. BUSH
2000,12007,FLORIDA,FL,BRADFORD,3075,AL GORE,5414,GEORGE W. BUSH,8489,Republicans,63.77665213806102,GEORGE W. BUSH
2000,12009,FLORIDA,FL,BREVARD,97318,AL GORE,115185,GEORGE W. BUSH,212503,Republicans,54.20394065024965,GEORGE W. BUSH
2000,12011,FLORIDA,FL,BROWARD,387703,AL GORE,177902,GEORGE W. BUSH,565605,Democrats,68.54660054278162,AL GORE
2000,12013,FLORIDA,FL,CALHOUN,2155,AL GORE,2873,GEORGE W. BUSH,5028,Republicans,57.14001591089897,GEORGE W. BUSH
2000,12015,FLORIDA,FL,CHARLOTTE,29645,AL GORE,35426,GEORGE W. BUSH,65071,Republicans,54.44207096863426,GEORGE W. BUSH
2000,12017,FLORIDA,FL,CITRUS,25525,AL GORE,29767,GEORGE W. BUSH,55292,Republicans,53.8359979743905,GEORGE W. BUSH
2000,12019,FLORIDA,FL,CLAY,14632,AL GORE,41736,GEORGE W. BUSH,56368,Republicans,74.04200965086574,GEORGE W. BUSH
2000,12021,FLORIDA,FL,COLLIER,29921,AL GORE,60450,GEORGE W. BUSH,90371,Republicans,66.89092739927631,GEORGE W. BUSH
2000,12023,FLORIDA,FL,COLUMBIA,7047,AL GORE,10964,GEORGE W. BUSH,18011,Republicans,60.873910388096164,GEORGE W. BUSH
2000,12027,FLORIDA,FL,DESOTO,3320,AL GORE,4256,GEORGE W. BUSH,7576,Republicans,56.177402323125655,GEORGE W. BUSH
2000,12029,FLORIDA,FL,DIXIE,1826,AL GORE,2697,GEORGE W. BUSH,4523,Republicans,59.628565111651554,GEORGE W. BUSH
2000,12031,FLORIDA,FL,DUVAL,107864,AL GORE,152098,GEORGE W. BUSH,259962,Republicans,58.507781906586345,GEORGE W. BUSH
2000,12033,FLORIDA,FL,ESCAMBIA,40943,AL GORE,73017,GEORGE W. BUSH,113960,Republicans,64.07248157248158,GEORGE W. BUSH
2000,12035,FLORIDA,FL,FLAGLER,13897,AL GORE,12613,GEORGE W. BUSH,26510,Democrats,52.42172764994342,AL GORE
2000,12037,FLORIDA,FL,FRANKLIN,2046,AL GORE,2454,GEORGE W. BUSH,4500,Republicans,54.53333333333333,GEORGE W. BUSH
2000,12039,FLORIDA,FL,GADSDEN,9735,AL GORE,4767,GEORGE W. BUSH,14502,Democrats,67.12867190732312,AL GORE
2000,12041,FLORIDA,FL,GILCHRIST,1910,AL GORE,3300,GEORGE W. BUSH,5210,Republicans,63.339731285988485,GEORGE W. BUSH
2000,12043,FLORIDA,FL,GLADES,1442,AL GORE,1841,GEORGE W. BUSH,3283,Republicans,56.07675906183369,GEORGE W. BUSH
2000,12045,FLORIDA,FL,GULF,2397,AL GORE,3550,GEORGE W. BUSH,5947,Republicans,59.69396334286194,GEORGE W. BUSH
2000,12047,FLORIDA,FL,HAMILTON,1722,AL GORE,2146,GEORGE W. BUSH,3868,Republicans,55.48086866597725,GEORGE W. BUSH
2000,12049,FLORIDA,FL,HARDEE,2339,AL GORE,3765,GEORGE W. BUSH,6104,Republicans,61.68086500655308,GEORGE W. BUSH
2000,12051,FLORIDA,FL,HENDRY,3240,AL GORE,4747,GEORGE W. BUSH,7987,Republicans,59.434080380618504,GEORGE W. BUSH
2000,12053,FLORIDA,FL,HERNANDO,32644,AL GORE,30646,GEORGE W. BUSH,63290,Democrats,51.578448412071424,AL GORE
2000,12055,FLORIDA,FL,HIGHLANDS,14167,AL GORE,20206,GEORGE W. BUSH,34373,Republicans,58.784511098827565,GEORGE W. BUSH
2000,12057,FLORIDA,FL,HILLSBOROUGH,169557,AL GORE,180760,GEORGE W. BUSH,350317,Republicans,51.598980352081114,GEORGE W. BUSH
2000,12059,FLORIDA,FL,HOLMES,2177,AL GORE,5011,GEORGE W. BUSH,7188,Republicans,69.71341124095714,GEORGE W. BUSH
2000,12061,FLORIDA,FL,INDIAN RIVER,19768,AL GORE,28635,GEORGE W. BUSH,48403,Republicans,59.15955622585377,GEORGE W. BUSH
2000,12063,FLORIDA,FL,JACKSON,6868,AL GORE,9138,GEORGE W. BUSH,16006,Republicans,57.09109084093464,GEORGE W. BUSH
2000,12065,FLORIDA,FL,JEFFERSON,3041,AL GORE,2478,GEORGE W. BUSH,5519,Democrats,55.100561695959414,AL GORE
2000,12067,FLORIDA,FL,LAFAYETTE,789,AL GORE,1670,GEORGE W. BUSH,2459,Republicans,67.91378609190728,GEORGE W. BUSH
2000,12069,FLORIDA,FL,LAKE,36571,AL GORE,50010,GEORGE W. BUSH,86581,Republicans,57.76094062207644,GEORGE W. BUSH
2000,12071,FLORIDA,FL,LEE,73560,AL GORE,106141,GEORGE W. BUSH,179701,Republicans,59.06533630864603,GEORGE W. BUSH
2000,12073,FLORIDA,FL,LEON,61427,AL GORE,39062,GEORGE W. BUSH,100489,Democrats,61.12808367084954,AL GORE
2000,12075,FLORIDA,FL,LEVY,5398,AL GORE,6858,GEORGE W. BUSH,12256,Republicans,55.956266318537864,GEORGE W. BUSH
2000,12077,FLORIDA,FL,LIBERTY,1017,AL GORE,1317,GEORGE W. BUSH,2334,Republicans,56.426735218508995,GEORGE W. BUSH
2000,12079,FLORIDA,FL,MADISON,3014,AL GORE,3038,GEORGE W. BUSH,6052,Republicans,50.19828155981494,GEORGE W. BUSH
2000,12081,FLORIDA,FL,MANATEE,49177,AL GORE,57952,GEORGE W. BUSH,107129,Republicans,54.09552968850638,GEORGE W. BUSH
2000,12083,FLORIDA,FL,MARION,44665,AL GORE,55141,GEORGE W. BUSH,99806,Republicans,55.24818147205579,GEORGE W. BUSH
2000,12085,FLORIDA,FL,MARTIN,26620,AL GORE,33970,GEORGE W. BUSH,60590,Republicans,56.06535731968971,GEORGE W. BUSH
2000,12086,FLORIDA,FL,MIAMI-DADE,328808,AL GORE,289533,GEORGE W. BUSH,618341,Democrats,53.175836633831494,AL GORE
2000,12087,FLORIDA,FL,MONROE,16483,AL GORE,16059,GEORGE W. BUSH,32542,Democrats,50.651465798045606,AL GORE
2000,12089,FLORIDA,FL,NASSAU,6952,AL GORE,16404,GEORGE W. BUSH,23356,Republicans,70.23462921733173,GEORGE W. BUSH
2000,12091,FLORIDA,FL,OKALOOSA,16948,AL GORE,52093,GEORGE W. BUSH,69041,Republicans,75.45226749322866,GEORGE W. BUSH
2000,12093,FLORIDA,FL,OKEECHOBEE,4588,AL GORE,5057,GEORGE W. BUSH,9645,Republicans,52.431311560393986,GEORGE W. BUSH
2000,12095,FLORIDA,FL,ORANGE,140220,AL GORE,134517,GEORGE W. BUSH,274737,Democrats,51.03790170235535,AL GORE
2000,12097,FLORIDA,FL,OSCEOLA,28181,AL GORE,26212,GEORGE W. BUSH,54393,Democrats,51.809975548324225,AL GORE
2000,12099,FLORIDA,FL,PALM BEACH,269732,AL GORE,152951,GEORGE W. BUSH,422683,Democrats,63.81425323469361,AL GORE
2000,12101,FLORIDA,FL,PASCO,69564,AL GORE,68582,GEORGE W. BUSH,138146,Democrats,50.35542107625266,AL GORE
2000,12103,FLORIDA,FL,PINELLAS,200630,AL GORE,184825,GEORGE W. BUSH,385455,Democrats,52.05017446913388,AL GORE
2000,12105,FLORIDA,FL,POLK,75200,AL GORE,90295,GEORGE W. BUSH,165495,Republicans,54.56056074201637,GEORGE W. BUSH
2000,12107,FLORIDA,FL,PUTNAM,12102,AL GORE,13447,GEORGE W. BUSH,25549,Republicans,52.632196954871034,GEORGE W. BUSH
2000,12109,FLORIDA,FL,ST. JOHNS,19502,AL GORE,39546,GEORGE W. BUSH,59048,Republicans,66.97263243462945,GEORGE W. BUSH
2000,12111,FLORIDA,FL,ST. LUCIE,41559,AL GORE,34705,GEORGE W. BUSH,76264,Democrats,54.49360117486626,AL GORE
2000,12113,FLORIDA,FL,SANTA ROSA,12802,AL GORE,36274,GEORGE W. BUSH,49076,Republicans,73.9139294156003,GEORGE W. BUSH
2000,12115,FLORIDA,FL,SARASOTA,72853,AL GORE,83100,GEORGE W. BUSH,155953,Republicans,53.28528466909902,GEORGE W. BUSH
2000,12117,FLORIDA,FL,SEMINOLE,59174,AL GORE,75677,GEORGE W. BUSH,134851,Republicans,56.11897575842968,GEORGE W. BUSH
2000,12119,FLORIDA,FL,SUMTER,9637,AL GORE,12127,GEORGE W. BUSH,21764,Republicans,55.720455798566434,GEORGE W. BUSH
2000,12121,FLORIDA,FL,SUWANNEE,4075,AL GORE,8006,GEORGE W. BUSH,12081,Republicans,66.2693485638606,GEORGE W. BUSH
2000,12123,FLORIDA,FL,TAYLOR,2649,AL GORE,4056,GEORGE W. BUSH,6705,Republicans,60.49217002237136,GEORGE W. BUSH
2000,12125,FLORIDA,FL,UNION,1407,AL GORE,2332,GEORGE W. BUSH,3739,Republicans,62.369617544798075,GEORGE W. BUSH
2000,12127,FLORIDA,FL,VOLUSIA,97304,AL GORE,82357,GEORGE W. BUSH,179661,Democrats,54.15977869431875,AL GORE
2000,12129,FLORIDA,FL,WAKULLA,3838,AL GORE,4512,GEORGE W. BUSH,8350,Republicans,54.035928143712574,GEORGE W. BUSH
2000,12131,FLORIDA,FL,WALTON,5642,AL GORE,12182,GEORGE W. BUSH,17824,Republicans,68.34605026929982,GEORGE W. BUSH
2000,12133,FLORIDA,FL,WASHINGTON,2798,AL GORE,4994,GEORGE W. BUSH,7792,Republicans,64.09137577002053,GEORGE W. BUSH
2000,13001,GEORGIA,GA,APPLING,2093,AL GORE,3940,GEORGE W. BUSH,6033,Republicans,65.30747555113543,GEORGE W. BUSH
2000,13003,GEORGIA,GA,ATKINSON,821,AL GORE,1228,GEORGE W. BUSH,2049,Republicans,59.93167398731089,GEORGE W. BUSH
2000,13005,GEORGIA,GA,BACON,956,AL GORE,2010,GEORGE W. BUSH,2966,Republicans,67.76803776129468,GEORGE W. BUSH
2000,13007,GEORGIA,GA,BAKER,893,AL GORE,615,GEORGE W. BUSH,1508,Democrats,59.217506631299734,AL GORE
2000,13009,GEORGIA,GA,BALDWIN,5893,AL GORE,6041,GEORGE W. BUSH,11934,Republicans,50.620077090665326,GEORGE W. BUSH
2000,13011,GEORGIA,GA,BANKS,1220,AL GORE,3202,GEORGE W. BUSH,4422,Republicans,72.41067390321122,GEORGE W. BUSH
2000,13013,GEORGIA,GA,BARROW,3657,AL GORE,7925,GEORGE W. BUSH,11582,Republicans,68.42514246244173,GEORGE W. BUSH
2000,13015,GEORGIA,GA,BARTOW,7508,AL GORE,14720,GEORGE W. BUSH,22228,Republicans,66.22278207666007,GEORGE W. BUSH
2000,13017,GEORGIA,GA,BEN HILL,2234,AL GORE,2381,GEORGE W. BUSH,4615,Republicans,51.592632719393286,GEORGE W. BUSH
2000,13019,GEORGIA,GA,BERRIEN,1640,AL GORE,2718,GEORGE W. BUSH,4358,Republicans,62.36805874254245,GEORGE W. BUSH
2000,13021,GEORGIA,GA,BIBB,24996,AL GORE,24071,GEORGE W. BUSH,49067,Democrats,50.94258870523978,AL GORE
2000,13023,GEORGIA,GA,BLECKLEY,1273,AL GORE,2436,GEORGE W. BUSH,3709,Republicans,65.6780803451065,GEORGE W. BUSH
2000,13025,GEORGIA,GA,BRANTLEY,1372,AL GORE,3118,GEORGE W. BUSH,4490,Republicans,69.44320712694878,GEORGE W. BUSH
2000,13027,GEORGIA,GA,BROOKS,2096,AL GORE,2406,GEORGE W. BUSH,4502,Republicans,53.44291426032874,GEORGE W. BUSH
2000,13029,GEORGIA,GA,BRYAN,2172,AL GORE,4835,GEORGE W. BUSH,7007,Republicans,69.0024261452833,GEORGE W. BUSH
2000,13031,GEORGIA,GA,BULLOCH,5561,AL GORE,8990,GEORGE W. BUSH,14551,Republicans,61.78269534739881,GEORGE W. BUSH
2000,13033,GEORGIA,GA,BURKE,3720,AL GORE,3381,GEORGE W. BUSH,7101,Democrats,52.38698774820448,AL GORE
2000,13035,GEORGIA,GA,BUTTS,2281,AL GORE,3198,GEORGE W. BUSH,5479,Republicans,58.36831538601934,GEORGE W. BUSH
2000,13037,GEORGIA,GA,CALHOUN,1107,AL GORE,768,GEORGE W. BUSH,1875,Democrats,59.040000000000006,AL GORE
2000,13039,GEORGIA,GA,CAMDEN,3636,AL GORE,6371,GEORGE W. BUSH,10007,Republicans,63.665434196062755,GEORGE W. BUSH
2000,13043,GEORGIA,GA,CANDLER,1053,AL GORE,1643,GEORGE W. BUSH,2696,Republicans,60.94213649851632,GEORGE W. BUSH
2000,13045,GEORGIA,GA,CARROLL,8752,AL GORE,16326,GEORGE W. BUSH,25078,Republicans,65.10088523805726,GEORGE W. BUSH
2000,13047,GEORGIA,GA,CATOOSA,5470,AL GORE,12033,GEORGE W. BUSH,17503,Republicans,68.74821459178426,GEORGE W. BUSH
2000,13049,GEORGIA,GA,CHARLTON,1015,AL GORE,1770,GEORGE W. BUSH,2785,Republicans,63.55475763016158,GEORGE W. BUSH
2000,13051,GEORGIA,GA,CHATHAM,37590,AL GORE,37847,GEORGE W. BUSH,75437,Republicans,50.170340814189316,GEORGE W. BUSH
2000,13053,GEORGIA,GA,CHATTAHOOCHEE,600,AL GORE,590,GEORGE W. BUSH,1190,Democrats,50.42016806722689,AL GORE
2000,13055,GEORGIA,GA,CHATTOOGA,2729,AL GORE,3640,GEORGE W. BUSH,6369,Republicans,57.15182917255456,GEORGE W. BUSH
2000,13057,GEORGIA,GA,CHEROKEE,12295,AL GORE,38033,GEORGE W. BUSH,50328,Republicans,75.57025910030202,GEORGE W. BUSH
2000,13059,GEORGIA,GA,CLARKE,15167,AL GORE,11850,GEORGE W. BUSH,27017,Democrats,56.13872746789059,AL GORE
2000,13061,GEORGIA,GA,CLAY,821,AL GORE,448,GEORGE W. BUSH,1269,Democrats,64.69661150512215,AL GORE
2000,13063,GEORGIA,GA,CLAYTON,40042,AL GORE,19966,GEORGE W. BUSH,60008,Democrats,66.72776963071591,AL GORE
2000,13065,GEORGIA,GA,CLINCH,816,AL GORE,1091,GEORGE W. BUSH,1907,Republicans,57.21027792343995,GEORGE W. BUSH
2000,13067,GEORGIA,GA,COBB,86676,AL GORE,140494,GEORGE W. BUSH,227170,Republicans,61.84531408196505,GEORGE W. BUSH
2000,13069,GEORGIA,GA,COFFEE,3593,AL GORE,5756,GEORGE W. BUSH,9349,Republicans,61.5680821478233,GEORGE W. BUSH
2000,13071,GEORGIA,GA,COLQUITT,3297,AL GORE,6589,GEORGE W. BUSH,9886,Republicans,66.64980780902286,GEORGE W. BUSH
2000,13073,GEORGIA,GA,COLUMBIA,8969,AL GORE,26660,GEORGE W. BUSH,35629,Republicans,74.82668612647001,GEORGE W. BUSH
2000,13075,GEORGIA,GA,COOK,1639,AL GORE,2279,GEORGE W. BUSH,3918,Republicans,58.16743236345074,GEORGE W. BUSH
2000,13077,GEORGIA,GA,COWETA,9056,AL GORE,21327,GEORGE W. BUSH,30383,Republicans,70.19385840766218,GEORGE W. BUSH
2000,13079,GEORGIA,GA,CRAWFORD,1513,AL GORE,1987,GEORGE W. BUSH,3500,Republicans,56.77142857142857,GEORGE W. BUSH
2000,13081,GEORGIA,GA,CRISP,2268,AL GORE,3285,GEORGE W. BUSH,5553,Republicans,59.15721231766613,GEORGE W. BUSH
2000,13083,GEORGIA,GA,DADE,1628,AL GORE,3333,GEORGE W. BUSH,4961,Republicans,67.1840354767184,GEORGE W. BUSH
2000,13085,GEORGIA,GA,DAWSON,1458,AL GORE,4210,GEORGE W. BUSH,5668,Republicans,74.27664079040225,GEORGE W. BUSH
2000,13087,GEORGIA,GA,DECATUR,3398,AL GORE,4187,GEORGE W. BUSH,7585,Republicans,55.20105471324983,GEORGE W. BUSH
2000,13089,GEORGIA,GA,DEKALB,154509,AL GORE,58807,GEORGE W. BUSH,213316,Democrats,72.43197884828142,AL GORE
2000,13091,GEORGIA,GA,DODGE,2326,AL GORE,3472,GEORGE W. BUSH,5798,Republicans,59.8827181786823,GEORGE W. BUSH
2000,13093,GEORGIA,GA,DOOLY,1901,AL GORE,1588,GEORGE W. BUSH,3489,Democrats,54.48552593866437,AL GORE
2000,13095,GEORGIA,GA,DOUGHERTY,16650,AL GORE,12248,GEORGE W. BUSH,28898,Democrats,57.61644404457056,AL GORE
2000,13097,GEORGIA,GA,DOUGLAS,11162,AL GORE,18893,GEORGE W. BUSH,30055,Republicans,62.86142072866412,GEORGE W. BUSH
2000,13099,GEORGIA,GA,EARLY,1622,AL GORE,1938,GEORGE W. BUSH,3560,Republicans,54.438202247191015,GEORGE W. BUSH
2000,13101,GEORGIA,GA,ECHOLS,272,AL GORE,614,GEORGE W. BUSH,886,Republicans,69.3002257336343,GEORGE W. BUSH
2000,13103,GEORGIA,GA,EFFINGHAM,3232,AL GORE,7326,GEORGE W. BUSH,10558,Republicans,69.38814169350256,GEORGE W. BUSH
2000,13105,GEORGIA,GA,ELBERT,2527,AL GORE,3262,GEORGE W. BUSH,5789,Republicans,56.34824667472793,GEORGE W. BUSH
